Point	Label	1	2	3	4	5	
291	L	0	1	1	0	0	
292	I	0	1	0	0	1	
293	Q	1	0	0	0	1	
294	G	0	0	1	1	1	
295	M	0	1	1	0	1	
296	D	0	0	1	0	0	
297	E	0	0	1	0	1	
298	B	0	0	0	1	0	
299	U	1	0	1	0	1	
300	B	0	0	0	1	0	
301	W	1	0	1	1	1	
302	N	0	1	1	1	0	
303	X	0	0	0	0	0	
304	N	0	1	1	1	0	
305	K	0	1	0	1	1	
306	S	1	0	0	1	1	
307	F	0	0	1	1	0	
308	M	0	1	1	0	1	
309	B	0	0	0	1	0	
310	H	0	1	0	0	0	
311	D	0	0	1	0	0	
312	U	1	0	1	0	1	
313	L	0	1	1	0	0	
314	A	0	0	0	0	1	
315	L	0	1	1	0	0	
316	L	0	1	1	0	0	
317	I	0	1	0	0	1	
318	O	0	1	1	1	1	
319	V	1	0	1	1	0	
320	V	1	0	1	1	0	
321	R	1	0	0	1	0	
322	W	1	0	1	1	1	
323	K	0	1	0	1	1	
324	N	0	1	1	1	0	
325	N	0	1	1	1	0	
326	K	0	1	0	1	1	
327	W	1	0	1	1	1	
328	R	1	0	0	1	0	
329	D	0	0	1	0	0	
330	I	0	1	0	0	1	
331	A	0	0	0	0	1	
332	L	0	1	1	0	0	
333	L	0	1	1	0	0	
334	I	0	1	0	0	1	
335	V	1	0	1	1	0	
336	K	0	1	0	1	1	
337	C	0	0	0	1	1	
338	L	0	1	1	0	0	
339	I	0	1	0	0	1	
340	U	1	0	1	0	1	
341	Q	1	0	0	0	1	
342	F	0	0	1	1	0	
343	S	1	0	0	1	1	
344	W	1	0	1	1	1	
345	R	1	0	0	1	0	
346	B	0	0	0	1	0	
347	N	0	1	1	1	0	
348	N	0	1	1	1	0	
349	C	0	0	0	1	1	
350	Q	1	0	0	0	1	
351	R	1	0	0	1	0	
352	R	1	0	0	1	0	
353	O	0	1	1	1	1	
354	D	0	0	1	0	0	
355	L	0	1	1	0	0	
356	L	0	1	1	0	0	
357	B	0	0	0	1	0	
358	N	0	1	1	1	0	
359	M	0	1	1	0	1	
360	B	0	0	0	1	0	
361	H	0	1	0	0	0	
362	K	0	1	0	1	1	
363	W	1	0	1	1	1	
364	S	1	0	0	1	1	
365	G	0	0	1	1	1	
366	O	0	1	1	1	1	
367	V	1	0	1	1	0	
368	I	0	1	0	0	1	
369	A	0	0	0	0	1	
370	X	0	0	0	0	0	
371	M	0	1	1	0	1	
372	D	0	0	1	0	0	
373	L	0	1	1	0	0	
374	V	1	0	1	1	0	
375	V	1	0	1	1	0	
376	T	1	0	1	0	0	
377	E	0	0	1	0	1	
378	O	0	1	1	1	1	
379	B	0	0	0	1	0	
380	K	0	1	0	1	1	
381	C	0	0	0	1	1	
382	L	0	1	1	0	0	
383	J	0	1	0	1	0	
384	F	0	0	1	1	0	
385	C	0	0	0	1	1	
386	N	0	1	1	1	0	
387	N	0	1	1	1	0	
388	C	0	0	0	1	1	
389	Q	1	0	0	0	1	
390	R	1	0	0	1	0	
391	O	0	1	1	1	1	
392	C	0	0	0	1	1	
393	Q	1	0	0	0	1	
394	S	1	0	0	1	1	
395	N	0	1	1	1	0	
396	W	1	0	1	1	1	
397	C	0	0	0	1	1	
398	G	0	0	1	1	1	
399	A	0	0	0	0	1	
400	L	0	1	1	0	0	
401	E	0	0	1	0	1	
402	R	1	0	0	1	0	
403	V	1	0	1	1	0	
404	V	1	0	1	1	0	
405	X	0	0	0	0	0	
406	X	0	0	0	0	0	
407	M	0	1	1	0	1	
408	C	0	0	0	1	1	
409	L	0	1	1	0	0	
410	I	0	1	0	0	1	
411	Q	1	0	0	0	1	
412	G	0	0	1	1	1	
413	L	0	1	1	0	0	
414	A	0	0	0	0	1	
415	F	0	0	1	1	0	
416	N	0	1	1	1	0	
417	N	0	1	1	1	0	
418	H	0	1	0	0	0	
419	D	0	0	1	0	0	
420	L	0	1	1	0	0	
421	E	0	0	1	0	1	
422	R	1	0	0	1	0	
423	V	1	0	1	1	0	
424	W	1	0	1	1	1	
425	W	1	0	1	1	1	
426	T	1	0	1	0	0	
427	U	1	0	1	0	1	
428	V	1	0	1	1	0	
429	V	1	0	1	1	0	
430	O	0	1	1	1	1	
431	W	1	0	1	1	1	
432	S	1	0	0	1	1	
433	G	0	0	1	1	1	
434	O	0	1	1	1	1	
435	V	1	0	1	1	0	
436	X	0	0	0	0	0	
437	L	0	1	1	0	0	
438	I	0	1	0	0	1	
439	Q	1	0	0	0	1	
440	G	0	0	1	1	1	
441	L	0	1	1	0	0	
442	A	0	0	0	0	1	
443	F	0	0	1	1	0	
444	E	0	0	1	0	1	
445	B	0	0	0	1	0	
446	N	0	1	1	1	0	
447	H	0	1	0	0	0	
448	O	0	1	1	1	1	
449	V	1	0	1	1	0	
450	X	0	0	0	0	0	
451	L	0	1	1	0	0	
452	I	0	1	0	0	1	
453	Q	1	0	0	0	1	
454	G	0	0	1	1	1	
455	L	0	1	1	0	0	
456	A	0	0	0	0	1	
457	F	0	0	1	1	0	
458	M	0	1	1	0	1	
459	D	0	0	1	0	0	
460	E	0	0	1	0	1	
461	K	0	1	0	1	1	
462	N	0	1	1	1	0	
463	M	0	1	1	0	1	
464	B	0	0	0	1	0	
465	N	0	1	1	1	0	
466	W	1	0	1	1	1	
467	C	0	0	0	1	1	
468	G	0	0	1	1	1	
469	A	0	0	0	0	1	
470	L	0	1	1	0	0	
471	E	0	0	1	0	1	
472	T	1	0	1	0	0	
473	I	0	1	0	0	1	
474	L	0	1	1	0	0	
475	L	0	1	1	0	0	
476	I	0	1	0	0	1	
477	Q	1	0	0	0	1	
478	G	0	0	1	1	1	
479	M	0	1	1	0	1	
480	D	0	0	1	0	0	
481	E	0	0	1	0	1	
482	B	0	0	0	1	0	
483	U	1	0	1	0	1	
484	U	1	0	1	0	1	
485	A	0	0	0	0	1	
486	F	0	0	1	1	0	
487	C	0	0	0	1	1	
488	N	0	1	1	1	0	
489	H	0	1	0	0	0	
490	O	0	1	1	1	1	
491	W	1	0	1	1	1	
492	N	0	1	1	1	0	
493	C	0	0	0	1	1	
494	N	0	1	1	1	0	
495	N	0	1	1	1	0	
496	J	0	1	0	1	0	
497	G	0	0	1	1	1	
498	A	0	0	0	0	1	
499	L	0	1	1	0	0	
500	L	0	1	1	0	0	
501	E	0	0	1	0	1	
502	B	0	0	0	1	0	
503	N	0	1	1	1	0	
504	H	0	1	0	0	0	
505	O	0	1	1	1	1	
506	V	1	0	1	1	0	
507	V	1	0	1	1	0	
508	T	1	0	1	0	0	
509	X	0	0	0	0	0	
510	M	0	1	1	0	1	
511	D	0	0	1	0	0	
512	X	0	0	0	0	0	
513	M	0	1	1	0	1	
514	D	0	0	1	0	0	
515	L	0	1	1	0	0	
516	U	1	0	1	0	1	
517	A	0	0	0	0	1	
518	F	0	0	1	1	0	
519	C	0	0	0	1	1	
520	N	0	1	1	1	0	
521	G	0	0	1	1	1	
522	L	0	1	1	0	0	
523	A	0	0	0	0	1	
524	F	0	0	1	1	0	
525	E	0	0	1	0	1	
526	B	0	0	0	1	0	
527	N	0	1	1	1	0	
528	G	0	0	1	1	1	
529	L	0	1	1	0	0	
530	A	0	0	0	0	1	
531	F	0	0	1	1	0	
532	N	0	1	1	1	0	
533	M	0	1	1	0	1	
534	B	0	0	0	1	0	
535	H	0	1	0	0	0	
536	I	0	1	0	0	1	
537	L	0	1	1	0	0	
538	M	0	1	1	0	1	
539	D	0	0	1	0	0	
540	X	0	0	0	0	0	
541	L	0	1	1	0	0	
542	J	0	1	0	1	0	
543	F	0	0	1	1	0	
544	C	0	0	0	1	1	
545	N	0	1	1	1	0	
546	N	0	1	1	1	0	
547	H	0	1	0	0	0	
548	D	0	0	1	0	0	
549	L	0	1	1	0	0	
550	E	0	0	1	0	1	
551	R	1	0	0	1	0	
552	V	1	0	1	1	0	
553	U	1	0	1	0	1	
554	Q	1	0	0	0	1	
555	S	1	0	0	1	1	
556	X	0	0	0	0	0	
557	N	0	1	1	1	0	
558	K	0	1	0	1	1	
559	R	1	0	0	1	0	
560	V	1	0	1	1	0	
561	U	1	0	1	0	1	
562	X	0	0	0	0	0	
563	L	0	1	1	0	0	
564	J	0	1	0	1	0	
565	F	0	0	1	1	0	
566	C	0	0	0	1	1	
567	N	0	1	1	1	0	
568	N	0	1	1	1	0	
569	H	0	1	0	0	0	
570	D	0	0	1	0	0	
571	L	0	1	1	0	0	
572	E	0	0	1	0	1	
573	R	1	0	0	1	0	
574	V	1	0	1	1	0	
575	V	1	0	1	1	0	
576	O	0	1	1	1	1	
577	U	1	0	1	0	1	
578	I	0	1	0	0	1	
579	L	0	1	1	0	0	
580	L	0	1	1	0	0	
581	I	0	1	0	0	1	
582	U	1	0	1	0	1	
583	Q	1	0	0	0	1	
584	F	0	0	1	1	0	
585	R	1	0	0	1	0	
586	V	1	0	1	1	0	
587	X	0	0	0	0	0	
588	N	0	1	1	1	0	
589	J	0	1	0	1	0	
590	H	0	1	0	0	0	
591	K	0	1	0	1	1	
592	T	1	0	1	0	0	
593	I	0	1	0	0	1	
594	L	0	1	1	0	0	
595	M	0	1	1	0	1	
596	D	0	0	1	0	0	
597	L	0	1	1	0	0	
598	V	1	0	1	1	0	
599	V	1	0	1	1	0	
600	R	1	0	0	1	0	
601	V	1	0	1	1	0	
602	I	0	1	0	0	1	
603	A	0	0	0	0	1	
604	Q	1	0	0	0	1	
605	F	0	0	1	1	0	
606	R	1	0	0	1	0	
607	V	1	0	1	1	0	
608	K	0	1	0	1	1	
609	C	0	0	0	1	1	
610	L	0	1	1	0	0	
611	I	0	1	0	0	1	
612	Z	1	1	0	0	0	
613	S	1	0	0	1	1	
614	Z	1	1	0	0	0	
615	V	1	0	1	1	0	
616	V	1	0	1	1	0	
617	R	1	0	0	1	0	
618	W	1	0	1	1	1	
619	J	0	1	0	1	0	
620	F	0	0	1	1	0	
621	C	0	0	0	1	1	
622	N	0	1	1	1	0	
623	N	0	1	1	1	0	
624	D	0	0	1	0	0	
625	L	0	1	1	0	0	
626	L	0	1	1	0	0	
627	A	0	0	0	0	1	
628	S	1	0	0	1	1	
629	O	0	1	1	1	1	
630	R	1	0	0	1	0	
631	B	0	0	0	1	0	
632	N	0	1	1	1	0	
633	M	0	1	1	0	1	
634	X	0	0	0	0	0	
635	N	0	1	1	1	0	
636	K	0	1	0	1	1	
637	R	1	0	0	1	0	
638	V	1	0	1	1	0	
639	V	1	0	1	1	0	
640	O	0	1	1	1	1	
641	V	1	0	1	1	0	
642	I	0	1	0	0	1	
643	A	0	0	0	0	1	
644	N	0	1	1	1	0	
645	K	0	1	0	1	1	
646	Z	1	1	0	0	0	
647	Q	1	0	0	0	1	
648	U	1	0	1	0	1	
649	X	0	0	0	0	0	
650	M	0	1	1	0	1	
651	C	0	0	0	1	1	
652	N	0	1	1	1	0	
653	N	0	1	1	1	0	
654	K	0	1	0	1	1	
655	R	1	0	0	1	0	
656	V	1	0	1	1	0	
657	V	1	0	1	1	0	
658	O	0	1	1	1	1	
659	W	1	0	1	1	1	
660	R	1	0	0	1	0	
661	D	0	0	1	0	0	
662	I	0	1	0	0	1	
663	A	0	0	0	0	1	
664	N	0	1	1	1	0	
665	J	0	1	0	1	0	
666	G	0	0	1	1	1	
667	X	0	0	0	0	0	
668	X	0	0	0	0	0	
669	L	0	1	1	0	0	
670	I	0	1	0	0	1	
671	Q	1	0	0	0	1	
672	G	0	0	1	1	1	
673	L	0	1	1	0	0	
674	A	0	0	0	0	1	
675	F	0	0	1	1	0	
676	N	0	1	1	1	0	
677	N	0	1	1	1	0	
678	H	0	1	0	0	0	
679	G	0	0	1	1	1	
680	M	0	1	1	0	1	
681	B	0	0	0	1	0	
682	H	0	1	0	0	0	
683	I	0	1	0	0	1	
684	L	0	1	1	0	0	
685	M	0	1	1	0	1	
686	D	0	0	1	0	0	
687	L	0	1	1	0	0	
688	U	1	0	1	0	1	
689	A	0	0	0	0	1	
690	F	0	0	1	1	0	
691	C	0	0	0	1	1	
692	N	0	1	1	1	0	
693	H	0	1	0	0	0	
694	O	0	1	1	1	1	
695	V	1	0	1	1	0	
696	V	1	0	1	1	0	
697	R	1	0	0	1	0	
698	V	1	0	1	1	0	
699	I	0	1	0	0	1	
700	A	0	0	0	0	1	
701	Q	1	0	0	0	1	
702	F	0	0	1	1	0	
703	R	1	0	0	1	0	
704	V	1	0	1	1	0	
705	K	0	1	0	1	1	
706	C	0	0	0	1	1	
707	N	0	1	1	1	0	
708	N	0	1	1	1	0	
709	K	0	1	0	1	1	
710	W	1	0	1	1	1	
711	R	1	0	0	1	0	
712	D	0	0	1	0	0	
713	I	0	1	0	0	1	
714	A	0	0	0	0	1	
715	N	0	1	1	1	0	
716	K	0	1	0	1	1	
717	W	1	0	1	1	1	
718	S	1	0	0	1	1	
719	H	0	1	0	0	0	
720	T	1	0	1	0	0	
721	U	1	0	1	0	1	
722	I	0	1	0	0	1	
723	L	0	1	1	0	0	
724	L	0	1	1	0	0	
725	J	0	1	0	1	0	
726	F	0	0	1	1	0	
727	C	0	0	0	1	1	
728	L	0	1	1	0	0	
729	B	0	0	0	1	0	
730	N	0	1	1	1	0	
731	N	0	1	1	1	0	
732	C	0	0	0	1	1	
733	Q	1	0	0	0	1	
734	S	1	0	0	1	1	
735	N	0	1	1	1	0	
736	W	1	0	1	1	1	
737	C	0	0	0	1	1	
738	G	0	0	1	1	1	
739	A	0	0	0	0	1	
740	N	0	1	1	1	0	
741	D	0	0	1	0	0	
742	L	0	1	1	0	0	
743	E	0	0	1	0	1	
744	R	1	0	0	1	0	
745	V	1	0	1	1	0	
746	V	1	0	1	1	0	
747	O	0	1	1	1	1	
748	V	1	0	1	1	0	
749	J	0	1	0	1	0	
750	Z	1	1	0	0	0	
751	Q	1	0	0	0	1	
752	W	1	0	1	1	1	
753	U	1	0	1	0	1	
754	Q	1	0	0	0	1	
755	S	1	0	0	1	1	
756	L	0	1	1	0	0	
757	A	0	0	0	0	1	
758	L	0	1	1	0	0	
759	L	0	1	1	0	0	
760	J	0	1	0	1	0	
761	F	0	0	1	1	0	
762	C	0	0	0	1	1	
763	N	0	1	1	1	0	
764	N	0	1	1	1	0	
765	H	0	1	0	0	0	
766	D	0	0	1	0	0	
767	L	0	1	1	0	0	
768	E	0	0	1	0	1	
769	R	1	0	0	1	0	
770	U	1	0	1	0	1	
771	L	0	1	1	0	0	
772	A	0	0	0	0	1	
773	N	0	1	1	1	0	
774	K	0	1	0	1	1	
775	R	1	0	0	1	0	
776	V	1	0	1	1	0	
777	V	1	0	1	1	0	
778	O	0	1	1	1	1	
779	W	1	0	1	1	1	
780	S	1	0	0	1	1	
781	G	0	0	1	1	1	
782	X	0	0	0	0	0	
783	L	0	1	1	0	0	
784	I	0	1	0	0	1	
785	P	1	0	0	0	0	
786	K	0	1	0	1	1	
787	N	0	1	1	1	0	
788	N	0	1	1	1	0	
789	K	0	1	0	1	1	
790	R	1	0	0	1	0	
791	X	0	0	0	0	0	
792	N	0	1	1	1	0	
793	K	0	1	0	1	1	
794	R	1	0	0	1	0	
795	V	1	0	1	1	0	
796	V	1	0	1	1	0	
797	P	1	0	0	0	0	
798	H	0	1	0	0	0	
799	R	1	0	0	1	0	
800	D	0	0	1	0	0	
801	I	0	1	0	0	1	
802	X	0	0	0	0	0	
803	L	0	1	1	0	0	
804	I	0	1	0	0	1	
805	Q	1	0	0	0	1	
806	H	0	1	0	0	0	
807	O	0	1	1	1	1	
808	V	1	0	1	1	0	
809	X	0	0	0	0	0	
810	L	0	1	1	0	0	
811	I	0	1	0	0	1	
812	O	0	1	1	1	1	
813	V	1	0	1	1	0	
814	X	0	0	0	0	0	
815	L	0	1	1	0	0	
816	I	0	1	0	0	1	
817	O	0	1	1	1	1	
818	V	1	0	1	1	0	
819	V	1	0	1	1	0	
820	R	1	0	0	1	0	
821	U	1	0	1	0	1	
822	O	0	1	1	1	1	
823	A	0	0	0	0	1	
824	Q	1	0	0	0	1	
825	F	0	0	1	1	0	
826	R	1	0	0	1	0	
827	V	1	0	1	1	0	
828	K	0	1	0	1	1	
829	X	0	0	0	0	0	
830	M	0	1	1	0	1	
831	B	0	0	0	1	0	
832	N	0	1	1	1	0	
