THRESHOLD NUMBER OF HITS =244
********             SOLID SEQUENCES                  ********
Sequence WD X =100 Y =63 HITS =228

Sequence DV X =55 Y =17 HITS =46

Sequence UI X =94 Y =34 HITS =37

NUMBER OF PFS  SOLID = 45 HOLLOW = 115 TOTAL = 160
********             REPEAT SEQUENCES                  ********
Sequence LL X =92	Y =0	HITS =1107
Number 1 Hit Count =92
Sequence NN X =82	Y =0	HITS =959
Number 1 Hit Count =110
Sequence ZZ X =75	Y =0	HITS =246
Number 1 Hit Count =43
********         LINKS (ORIGIN -> DIRECTION)          ********
LI --> IO
NK --> KT
KT --> TI
TI --> IL
IL --> LL
LL --> LI
LI --> IP
IP --> PK
PK --> KN
KN --> NM
NM --> MB
MB --> BN
BN --> NW
CG --> GA
GA --> AN
CG --> GL
GL --> LL
LL --> LE
LE --> EB
EB --> BN
BN --> NH
NH --> HO
HO --> OV
OV --> VU
VU --> UU
UU --> UQ
SL --> LA
LA --> AL
AL --> LL
IO --> OU
OU --> UA
NG --> GL
GL --> LB
LB --> BN
HO --> OW
OW --> WN
WN --> NC
CM --> MD
MD --> DL
DL --> LV
LV --> VV
VV --> VR
VR --> RV
NK --> KR
KR --> RV
RV --> VV
VV --> VP
PH --> HR
HR --> RD
RD --> DI
DI --> IA
IA --> AL
LI --> IU
UO --> OB
OB --> BK
CN --> NN
NN --> NK
NK --> KV
JZ --> ZQ
ZQ --> QZ
QZ --> ZZ
ZZ --> ZS
SF --> FN
FN --> ND
ND --> DL
DL --> LE
LE --> ET
LL --> LJ
LJ --> JF
NK --> KS
KS --> SE
SE --> ER
ER --> RV
VV --> VO
VO --> OV
BN --> NZ
RV --> VU
VU --> UV
UV --> VO
ER --> RU
RU --> UL
UL --> LA
LA --> AN
AN --> NK
IL --> LN
LN --> NN
NN --> NJ
JG --> GA
GA --> AL
VV --> VT
TE --> EO
EO --> OB
OB --> BJ
VO --> OU
OU --> UJ
LL --> LB
BN --> NM
MB --> BH
HI --> IL
IO --> OV
NK --> KW
KW --> WR
WR --> RD
DI --> IK
KD --> DI
DI --> IB
ZQ --> QU
OD --> DL
DL --> LN
NN --> ND
DL --> LM
LM --> MD
MD --> DE
QE --> EO
CL --> LI
KI --> IA
IA --> AQ
FR --> RV
IM --> MB
BN --> NG
OV --> VW
VW --> WR
WR --> RB
BN --> NN
BN --> NV
NV --> VV
VU --> UW
UW --> WR
ND --> DM
DM --> MB
KN --> NL
VU --> UZ
EB --> BL
OV --> VZ
VZ --> ZZ
ZZ --> ZQ
KS --> SF
LE --> ER
LI --> IQ
QG --> GL
NL --> LB
VZ --> ZQ
ZQ --> QH
QH --> HO
GM --> MD
DE --> EB
EB --> BW
BW --> WN
ZQ --> QG
MD --> DM
TW --> WR
RB --> BN
RV --> VI
VI --> IA
IA --> AN
ZU --> UL
FN --> NC
GL --> LM
GL --> LA
LA --> AF
AF --> FN
NL --> LE
KL --> LI
LI --> IK
LL --> LK
LK --> KK
KK --> KN
RV --> VK
NK --> KZ
KZ --> ZQ
DN --> ND
OU --> UB
KR --> RU
UL --> LB
LB --> BM
DL --> LU
WN --> ND
OU --> UI
UI --> IL
OU --> UW
DL --> LL
OV --> VV
BN --> NL
RV --> VW
FN --> NL
KN --> NN
HO --> OU
NL --> LL
KL --> LL
DV --> VV
============
