THRESHOLD NUMBER OF HITS =258
********             SOLID SEQUENCES                  ********
Sequence JG -> GA -> AN -> NH -> HD -> DL -> LE -> ER (JGANHDLER)  [COUNT 9]
Sequence JG -> GA -> AN -> NH -> HD -> DL -> LE -> ER -> RV (JGANHDLERV)  [COUNT 9]
Sequence JG -> GA -> AN -> NH -> HD -> DL -> LE -> ER -> RV -> VW (JGANHDLERVW)  [COUNT 9]
Sequence JG -> GA -> AN -> NH -> HD -> DL -> LE -> ER -> RV -> VW -> WW (JGANHDLERVWW)  [COUNT 9]
Sequence GL -> LA -> AF (GLAF)  [COUNT 31]
Sequence AF -> FC (AFC)  [COUNT 30]
Sequence AF -> FC -> CN (AFCN)  [COUNT 18]
Sequence AF -> FC -> CN -> NH (AFCNH)  [COUNT 18]
Sequence AF -> FC -> CN -> NH -> HO (AFCNHO)  [COUNT 18]
Sequence AF -> FC -> CN -> NH -> HO -> OV (AFCNHOV)  [COUNT 18]
Sequence AF -> FC -> CN -> NH -> HO -> OV -> VV (AFCNHOVV)  [COUNT 6]
Sequence GA -> AN (GAN)  [COUNT 9]
Sequence AF -> FC -> CL (AFCL)  [COUNT 12]
Sequence AF -> FC -> CL -> LA (AFCLA)  [COUNT 6]
Sequence AF -> FC -> CL -> LA -> AF (AFCLAF)  [COUNT 6]
Sequence AF -> FC -> CN -> NH -> HO -> OV -> VW (AFCNHOVW)  [COUNT 6]
Sequence AF -> FC -> CN -> NH -> HO -> OV -> VZ (AFCNHOVZ)  [COUNT 6]
Sequence CG -> GA (CGA)  [COUNT 26]
Sequence CG -> GA -> AN (CGAN)  [COUNT 7]
Sequence JG -> GA -> AN -> NH -> HD -> DL -> LE -> ER -> RV -> VW -> WW -> WR (JGANHDLERVWWR)  [COUNT 7]
Sequence CG -> GL (CGL)  [COUNT 12]
Sequence CG -> GL -> LL (CGLL)  [COUNT 12]
Sequence CG -> GL -> LL -> LE (CGLLE)  [COUNT 6]
Sequence CG -> GL -> LL -> LE -> EB (CGLLEB)  [COUNT 4]
Sequence CG -> GL -> LL -> LE -> EB -> BN (CGLLEBN)  [COUNT 4]
Sequence CG -> GL -> LL -> LE -> EB -> BN -> NH (CGLLEBNH)  [COUNT 4]
Sequence LL -> LE -> EB (LLEB)  [COUNT 3]
Sequence LL -> LE -> EB -> BN (LLEBN)  [COUNT 3]
Sequence EB -> BN (EBN)  [COUNT 6]
Sequence EB -> BN -> NH (EBNH)  [COUNT 3]
Sequence EB -> BN -> NH -> HO (EBNHO)  [COUNT 3]
Sequence EB -> BN -> NH -> HO -> OV (EBNHOV)  [COUNT 3]
Sequence EB -> BN -> NH -> HO -> OV -> VV (EBNHOVV)  [COUNT 3]
Sequence KN -> NN (KNN)  [COUNT 16]
Sequence KN -> NN -> NK (KNNK)  [COUNT 11]
Sequence KN -> NN -> NK -> KR (KNNKR)  [COUNT 3]
Sequence KN -> NN -> NK -> KR -> RV (KNNKRV)  [COUNT 3]
Sequence KN -> NN -> NK -> KR -> RV -> VW (KNNKRVW)  [COUNT 3]
Sequence UA -> AF (UAF)  [COUNT 9]
Sequence UA -> AF -> FC (UAFC)  [COUNT 9]
Sequence UA -> AF -> FC -> CN (UAFCN)  [COUNT 6]
Sequence UA -> AF -> FC -> CN -> NH (UAFCNH)  [COUNT 6]
Sequence UA -> AF -> FC -> CN -> NH -> HO (UAFCNHO)  [COUNT 6]
Sequence UA -> AF -> FC -> CN -> NH -> HO -> OV (UAFCNHOV)  [COUNT 6]
Sequence UA -> AF -> FC -> CN -> NH -> HO -> OV -> VV (UAFCNHOVV)  [COUNT 2]
Sequence UA -> AF -> FC -> CL (UAFCL)  [COUNT 3]
Sequence UA -> AF -> FC -> CL -> LA (UAFCLA)  [COUNT 2]
Sequence UA -> AF -> FC -> CL -> LA -> AF (UAFCLAF)  [COUNT 2]
Sequence UA -> AF -> FC -> CN -> NH -> HO -> OV -> VW (UAFCNHOVW)  [COUNT 2]
