THRESHOLD NUMBER OF HITS =185
********             SOLID SEQUENCES                  ********
Sequence KC -> CL -> LI -> IU (KCLIU)  [COUNT 4]
Sequence KC -> CL -> LI -> IU -> UO (KCLIUO)  [COUNT 4]
Sequence KC -> CL -> LI -> IU -> UO -> OB (KCLIUOB)  [COUNT 4]
Sequence NC -> CL (NCL)  [COUNT 6]
Sequence RV -> VK -> KC -> CL (RVKCL)  [COUNT 8]
Sequence NC -> CN -> NN -> NK -> KR (NCNNKR)  [COUNT 2]
Sequence NC -> CN -> NN -> NK -> KR -> RV (NCNNKRV)  [COUNT 2]
Sequence NC -> CN -> NN -> NK -> KR -> RV -> VV (NCNNKRVV)  [COUNT 2]
Sequence NC -> CN -> NN -> NK -> KR -> RV -> VV -> VO (NCNNKRVVO)  [COUNT 2]
Sequence KK -> KC -> CL (KKCL)  [COUNT 4]
Sequence KK -> KC -> CL -> LI (KKCLI)  [COUNT 4]
Sequence KK -> KC -> CL -> LI -> IU (KKCLIU)  [COUNT 4]
Sequence NC -> CL -> LI (NCLI)  [COUNT 2]
Sequence KN -> NN -> NK -> KR (KNNKR)  [COUNT 4]
Sequence KN -> NN -> NK -> KR -> RV (KNNKRV)  [COUNT 4]
Sequence KN -> NN -> NK -> KR -> RV -> VV (KNNKRVV)  [COUNT 4]
Sequence KN -> NN -> NK -> KR -> RV -> VV -> VO (KNNKRVVO)  [COUNT 4]
Sequence UA -> AF (UAF)  [COUNT 11]
Sequence UA -> AF -> FC (UAFC)  [COUNT 11]
Sequence UA -> AF -> FC -> CL (UAFCL)  [COUNT 4]
Sequence UA -> AF -> FC -> CL -> LA (UAFCLA)  [COUNT 4]
Sequence UA -> AF -> FC -> CL -> LA -> AF (UAFCLAF)  [COUNT 4]
Sequence UA -> AF -> FC -> CL -> LA -> AF -> FN (UAFCLAFN)  [COUNT 4]
Sequence UA -> AF -> FC -> CL -> LA -> AF -> FN -> NN (UAFCLAFNN)  [COUNT 4]
Sequence UA -> AF -> FC -> CL -> LA -> AF -> FN -> NN -> NH (UAFCLAFNNH)  [COUNT 4]
Sequence UA -> AF -> FC -> CL -> LA -> AF -> FN -> NN -> NH -> HD (UAFCLAFNNHD)  [COUNT 4]
Sequence NK -> KR (NKR)  [COUNT 8]
Sequence NK -> KR -> RW (NKRW)  [COUNT 8]
Sequence NK -> KR -> RW -> WC (NKRWC)  [COUNT 8]
Sequence KC -> CL -> LI -> IV (KCLIV)  [COUNT 4]
Sequence JF -> FC -> CL (JFCL)  [COUNT 8]
Sequence JF -> FC -> CL -> LA (JFCLA)  [COUNT 8]
Sequence UA -> AF -> FC -> CN (UAFCN)  [COUNT 4]
Sequence UA -> AF -> FC -> CN -> NH (UAFCNH)  [COUNT 4]
Sequence UA -> AF -> FC -> CN -> NH -> HO (UAFCNHO)  [COUNT 4]
Sequence LB -> BN -> NH -> HO -> OU -> UA (LBNHOUA)  [COUNT 3]
Sequence LB -> BN -> NH -> HO -> OU -> UA -> AF (LBNHOUAF)  [COUNT 3]
Sequence LB -> BN -> NH -> HO -> OU -> UA -> AF -> FC (LBNHOUAFC)  [COUNT 3]
Sequence LB -> BN -> NH -> HO -> OU -> UA -> AF -> FC -> CN (LBNHOUAFCN)  [COUNT 3]
Sequence LB -> BN -> NH -> HO -> OU -> UA -> AF -> FC -> CN -> NH (LBNHOUAFCNH)  [COUNT 3]
Sequence LB -> BN -> NH -> HO -> OU -> UA -> AF -> FC -> CN -> NH -> HO (LBNHOUAFCNHO)  [COUNT 3]
Sequence CN -> NM (CNM)  [COUNT 6]
