THRESHOLD NUMBER OF HITS =177
********             SOLID SEQUENCES                  ********
Sequence OB X =88 Y =79 HITS =150

Sequence BK X =32 Y =47 HITS =92

Sequence UQ X =9 Y =77 HITS =80

Sequence HO X =22 Y =23 HITS =146

Sequence HJ X =34 Y =93 HITS =46

Sequence CQ X =53 Y =16 HITS =40

Sequence QS X =8 Y =83 HITS =39

Sequence SN X =94 Y =17 HITS =38

Sequence ES X =72 Y =7 HITS =35

Sequence SS X =10 Y =100 HITS =37

Sequence IM X =32 Y =77 HITS =87

Sequence NW X =82 Y =11 HITS =106

Sequence DU X =52 Y =8 HITS =41

Sequence UL X =91 Y =39 HITS =134

Sequence NJ X =24 Y =76 HITS =148

Sequence LN X =25 Y =84 HITS =46

Sequence EK X =59 Y =39 HITS =89

Sequence TU X =1 Y =91 HITS =158

Sequence UI X =95 Y =29 HITS =32

Sequence BJ X =48 Y =68 HITS =47

Sequence ZZ X =6 Y =97 HITS =62

Sequence QH X =75 Y =36 HITS =40

Sequence KR X =71 Y =12 HITS =38

Sequence UJ X =100 Y =13 HITS =55

Sequence LB X =70 Y =59 HITS =48

Sequence DJ X =52 Y =37 HITS =38

Sequence JU X =98 Y =3 HITS =13

Sequence KD X =71 Y =49 HITS =50

Sequence AS X =60 Y =9 HITS =47

Sequence SQ X =11 Y =88 HITS =34

Sequence QO X =97 Y =9 HITS =57

Sequence OR X =93 Y =12 HITS =31

Sequence RA X =88 Y =62 HITS =47

Sequence UV X =1 Y =52 HITS =95

Sequence OZ X =88 Y =14 HITS =168

Sequence RU X =10 Y =22 HITS =152

Sequence EI X =50 Y =53 HITS =50

Sequence VT X =6 Y =89 HITS =34

Sequence TE X =98 Y =74 HITS =55

Sequence EO X =22 Y =23 HITS =146

NUMBER OF PFS  SOLID = 53 HOLLOW = 108 TOTAL = 161
********             REPEAT SEQUENCES                  ********
********         LINKS (ORIGIN -> DIRECTION)          ********
LI --> IQ
QG --> GL
GL --> LA
LA --> AF
AF --> FN
FN --> NN
NN --> NH
NH --> HD
HD --> DL
DL --> LE
LE --> ER
ER --> RW
