THRESHOLD NUMBER OF HITS =393
********             SOLID SEQUENCES                  ********
Sequence NC -> CN -> NN (NCNN)  [COUNT 11]
Sequence NC -> CN -> NN -> NK (NCNNK)  [COUNT 11]
Sequence IA -> AL (IAL)  [COUNT 59]
Sequence IA -> AL -> LL (IALL)  [COUNT 49]
Sequence IA -> AL -> LL -> LI (IALLI)  [COUNT 49]
Sequence IA -> AL -> LL -> LI -> IV (IALLIV)  [COUNT 20]
Sequence BN -> NH (BNH)  [COUNT 35]
Sequence BN -> NH -> HO (BNHO)  [COUNT 35]
Sequence BN -> NH -> HO -> OV (BNHOV)  [COUNT 33]
Sequence BN -> NH -> HO -> OV -> VV (BNHOVV)  [COUNT 20]
Sequence UO -> OB (UOB)  [COUNT 64]
Sequence IA -> AL -> LM (IALM)  [COUNT 10]
Sequence IA -> AL -> LM -> MD (IALMD)  [COUNT 10]
Sequence BN -> NN (BNN)  [COUNT 4]
Sequence BN -> NN -> ND (BNND)  [COUNT 4]
Sequence BN -> NN -> ND -> DL (BNNDL)  [COUNT 4]
Sequence BN -> NN -> ND -> DL -> LM (BNNDLM)  [COUNT 4]
Sequence BN -> NN -> ND -> DL -> LM -> MD (BNNDLMD)  [COUNT 4]
Sequence BN -> NN -> ND -> DL -> LM -> MD -> DE (BNNDLMDE)  [COUNT 4]
Sequence IA -> AL -> LL -> LI -> IV -> VK (IALLIVK)  [COUNT 10]
Sequence IA -> AL -> LL -> LI -> IV -> VK -> KC (IALLIVKC)  [COUNT 10]
Sequence MB -> BN (MBN)  [COUNT 18]
Sequence LA -> AF (LAF)  [COUNT 40]
Sequence LA -> AF -> FN (LAFN)  [COUNT 40]
Sequence LA -> AF -> FN -> NN (LAFNN)  [COUNT 40]
Sequence LA -> AF -> FN -> NN -> NH (LAFNNH)  [COUNT 40]
Sequence IL -> LL (ILL)  [COUNT 62]
Sequence LB -> BN (LBN)  [COUNT 49]
Sequence IL -> LM (ILM)  [COUNT 29]
Sequence IL -> LM -> MD (ILMD)  [COUNT 15]
Sequence IL -> LL -> LN (ILLN)  [COUNT 31]
Sequence IL -> LL -> LN -> NN (ILLNN)  [COUNT 31]
Sequence IL -> LN (ILN)  [COUNT 23]
Sequence IL -> LN -> NK (ILNK)  [COUNT 8]
Sequence AL -> LL -> LA (ALLA)  [COUNT 1]
Sequence LB -> BN -> NH (LBNH)  [COUNT 22]
Sequence LB -> BN -> NH -> HO (LBNHO)  [COUNT 22]
Sequence LB -> BN -> NH -> HO -> OV (LBNHOV)  [COUNT 15]
Sequence LA -> AL (LAL)  [COUNT 14]
Sequence LA -> AL -> LL (LALL)  [COUNT 6]
Sequence LA -> AL -> LL -> LI (LALLI)  [COUNT 6]
Sequence LA -> AL -> LM (LALM)  [COUNT 8]
Sequence LA -> AL -> LM -> MD (LALMD)  [COUNT 8]
Sequence LA -> AL -> LM -> MD -> DL (LALMDL)  [COUNT 8]
Sequence DL -> LL -> LB (DLLB)  [COUNT 8]
Sequence IL -> LN -> NN (ILNN)  [COUNT 8]
Sequence IL -> LL -> LN -> NN -> NK (ILLNNK)  [COUNT 8]
Sequence JG -> GA (JGA)  [COUNT 73]
Sequence JG -> GA -> AL (JGAL)  [COUNT 51]
Sequence JG -> GA -> AL -> LL (JGALL)  [COUNT 37]
