Point	Label	1	2	3	4	5		
296	N	0	1	1	1	0		
297	C	0	0	0	1	1		
298	L	0	1	1	0	0		
299	J	0	1	0	1	0		
300	F	0	0	1	1	0		
301	C	0	0	0	1	1		
302	L	0	1	1	0	0		
303	E	0	0	1	0	1		
304	B	0	0	0	1	0		
305	N	0	1	1	1	0		
306	H	0	1	0	0	0		
307	O	0	1	1	1	1		
308	V	1	0	1	1	0		
309	V	1	0	1	1	0		
310	T	1	0	1	0	0		
311	E	0	0	1	0	1		
312	O	0	1	1	1	1		
313	B	0	0	0	1	0		
314	K	0	1	0	1	1		
315	C	0	0	0	1	1		
316	M	0	1	1	0	1		
317	C	0	0	0	1	1		
318	L	0	1	1	0	0		
319	J	0	1	0	1	0		
320	F	0	0	1	1	0		
321	C	0	0	0	1	1		
322	N	0	1	1	1	0		
323	N	0	1	1	1	0		
324	D	0	0	1	0	0		
325	L	0	1	1	0	0		
326	M	0	1	1	0	1		
327	C	0	0	0	1	1		
328	N	0	1	1	1	0		
329	N	0	1	1	1	0		
330	D	0	0	1	0	0		
331	L	0	1	1	0	0		
332	M	0	1	1	0	1		
333	D	0	0	1	0	0		
334	E	0	0	1	0	1		
335	K	0	1	0	1	1		
336	N	0	1	1	1	0		
337	N	0	1	1	1	0		
338	K	0	1	0	1	1		
339	W	1	0	1	1	1		
340	S	1	0	0	1	1		
341	G	0	0	1	1	1		
342	O	0	1	1	1	1		
343	U	1	0	1	0	1		
344	J	0	1	0	1	0		
345	H	0	1	0	0	0		
346	K	0	1	0	1	1		
347	Z	1	1	0	0	0		
348	Q	1	0	0	0	1		
349	V	1	0	1	1	0		
350	O	0	1	1	1	1		
351	V	1	0	1	1	0		
352	I	0	1	0	0	1		
353	A	0	0	0	0	1		
354	N	0	1	1	1	0		
355	J	0	1	0	1	0		
356	G	0	0	1	1	1		
357	F	0	0	1	1	0		
358	X	0	0	0	0	0		
359	X	0	0	0	0	0		
360	L	0	1	1	0	0		
361	J	0	1	0	1	0		
362	E	0	0	1	0	1		
363	K	0	1	0	1	1		
364	N	0	1	1	1	0		
365	N	0	1	1	1	0		
366	K	0	1	0	1	1		
367	R	1	0	0	1	0		
368	W	1	0	1	1	1		
369	C	0	0	0	1	1		
370	G	0	0	1	1	1		
371	A	0	0	0	0	1		
372	L	0	1	1	0	0		
373	E	0	0	1	0	1		
374	T	1	0	1	0	0		
375	I	0	1	0	0	1		
376	L	0	1	1	0	0		
377	L	0	1	1	0	0		
378	I	0	1	0	0	1		
379	O	0	1	1	1	1		
380	V	1	0	1	1	0		
381	V	1	0	1	1	0		
382	T	1	0	1	0	0		
383	E	0	0	1	0	1		
384	O	0	1	1	1	1		
385	B	0	0	0	1	0		
386	K	0	1	0	1	1		
387	C	0	0	0	1	1		
388	N	0	1	1	1	0		
389	N	0	1	1	1	0		
390	K	0	1	0	1	1		
391	W	1	0	1	1	1		
392	R	1	0	0	1	0		
393	D	0	0	1	0	0		
394	I	0	1	0	0	1		
395	A	0	0	0	0	1		
396	N	0	1	1	1	0		
397	J	0	1	0	1	0		
398	G	0	0	1	1	1		
399	A	0	0	0	0	1		
400	N	0	1	1	1	0		
401	C	0	0	0	1	1		
402	Q	1	0	0	0	1		
403	S	1	0	0	1	1		
404	N	0	1	1	1	0		
405	W	1	0	1	1	1		
406	C	0	0	0	1	1		
407	G	0	0	1	1	1		
408	A	0	0	0	0	1		
409	N	0	1	1	1	0		
410	C	0	0	0	1	1		
411	G	0	0	1	1	1		
412	L	0	1	1	0	0		
413	L	0	1	1	0	0		
414	E	0	0	1	0	1		
415	B	0	0	0	1	0		
416	N	0	1	1	1	0		
417	H	0	1	0	0	0		
418	O	0	1	1	1	1		
419	V	1	0	1	1	0		
420	V	1	0	1	1	0		
421	R	1	0	0	1	0		
422	V	1	0	1	1	0		
423	I	0	1	0	0	1		
424	A	0	0	0	0	1		
425	Q	1	0	0	0	1		
426	F	0	0	1	1	0		
427	S	1	0	0	1	1		
428	Z	1	1	0	0	0		
429	U	1	0	1	0	1		
430	A	0	0	0	0	1		
431	F	0	0	1	1	0		
432	C	0	0	0	1	1		
433	N	0	1	1	1	0		
434	H	0	1	0	0	0		
435	O	0	1	1	1	1		
436	W	1	0	1	1	1		
437	N	0	1	1	1	0		
438	C	0	0	0	1	1		
